"project","path","loc","functions","functionDecls","functionExprs","namedFuncExprs","calls","requires","defines","fsSyncs","fsAsyncs","setTimeouts","setIntervals","setImmediates","nextTicks","argscount","argsmax","paramscount","paramsmax"
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/lib/versions/version-info.js",201,13,1,12,0,55,5,0,2,0,0,0,0,0,"14 26 15 0 0 0 0 0 0 0 0",2,"7 5 1 0 0 0 0 0 0 0 0",2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/protractor-conf.js",16,0,0,0,0,1,1,0,0,0,0,0,0,0,"0 1 0 0 0 0 0 0 0 0 0",1,"0 0 0 0 0 0 0 0 0 0 0",0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/protractor-jenkins-conf.js",42,3,0,3,0,7,1,0,0,0,0,0,0,0,"1 4 2 0 0 0 0 0 0 0 0",2,"2 1 0 0 0 0 0 0 0 0 0",1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/protractor-shared-conf.js",33,4,0,4,0,7,0,0,0,0,0,0,0,0,"1 4 2 0 0 0 0 0 0 0 0",2,"2 2 0 0 0 0 0 0 0 0 0",1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/protractor-travis-conf.js",34,0,0,0,0,1,1,0,0,0,0,0,0,0,"0 1 0 0 0 0 0 0 0 0 0",1,"0 0 0 0 0 0 0 0 0 0 0",0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/scripts/clean-shrinkwrap.js",43,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 0 0 0 0 0 0 0 0 0 0",0,"0 0 0 0 0 0 0 0 0 0 0",0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/Angular.js",1595,89,60,29,1,236,0,0,0,0,0,0,0,0,"20 140 60 8 8 0 0 0 0 0 0",4,"11 49 20 7 2 0 0 0 0 0 0",4
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/AngularPublic.js",246,2,1,1,1,13,0,0,0,0,0,0,0,0,"0 8 4 1 0 0 0 0 0 0 0",3,"0 2 0 0 0 0 0 0 0 0 0",1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/apis.js",76,6,2,4,0,6,0,0,0,0,0,0,0,0,"2 0 3 1 0 0 0 0 0 0 0",3,"1 2 3 0 0 0 0 0 0 0 0",2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/auto/injector.js",851,28,17,11,1,99,0,0,0,0,0,0,0,0,"3 56 27 10 3 0 0 0 0 0 0",4,"2 9 12 4 1 0 0 0 0 0 0",4
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/jqLite.js",1027,92,28,64,3,193,0,0,0,0,1,0,0,0,"11 95 76 9 2 0 0 0 0 0 0",4,"14 31 33 11 3 0 0 0 0 0 0",4
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/loader.js",319,9,3,6,1,23,0,0,0,0,0,0,0,0,"1 6 9 6 1 0 0 0 0 0 0",4,"3 2 1 2 1 0 0 0 0 0 0",4
